time	H2	O2	H2O	OH	H	HO2	O	N2
193	0.286733	0.375914	0.000437335	0.0149266	0.409147	0.00060173	0.211491	0.01
194	0.285917	0.375356	0.000442983	0.015047	0.410638	0.000606724	0.212471	0.01
195	0.285104	0.374798	0.000448664	0.0151676	0.412124	0.000611726	0.21345	0.01
196	0.284293	0.374241	0.000454377	0.0152884	0.413605	0.000616738	0.214427	0.01
197	0.283485	0.373684	0.000460124	0.0154093	0.41508	0.000621758	0.215403	0.01
198	0.282679	0.373127	0.000465903	0.0155304	0.41655	0.000626788	0.216378	0.01
199	0.281876	0.372571	0.000471715	0.0156517	0.418015	0.000631826	0.217352	0.01
200	0.281075	0.372016	0.00047756	0.0157731	0.419475	0.000636873	0.218325	0.01
201	0.280277	0.371461	0.000483436	0.0158947	0.420929	0.000641928	0.219296	0.01
202	0.279481	0.370907	0.000489345	0.0160165	0.422379	0.000646992	0.220267	0.01
203	0.278688	0.370353	0.000495285	0.0161384	0.423823	0.000652064	0.221236	0.01
204	0.277897	0.369799	0.000501257	0.0162605	0.425262	0.000657144	0.222204	0.01
205	0.277108	0.369246	0.00050726	0.0163827	0.426696	0.000662232	0.22317	0.01
206	0.276322	0.368694	0.000513295	0.0165051	0.428125	0.000667329	0.224136	0.01
207	0.275539	0.368141	0.000519361	0.0166276	0.429549	0.000672433	0.225101	0.01
208	0.274757	0.36759	0.000525458	0.0167502	0.430967	0.000677544	0.226064	0.01
209	0.273979	0.367039	0.000531585	0.016873	0.432381	0.000682664	0.227026	0.01
210	0.273202	0.366488	0.000537743	0.016996	0.43379	0.00068779	0.227987	0.01
211	0.272428	0.365938	0.000543932	0.0171191	0.435193	0.000692924	0.228947	0.01
212	0.271657	0.365389	0.00055015	0.0172423	0.436592	0.000698066	0.229905	0.01
213	0.270888	0.36484	0.000556399	0.0173656	0.437985	0.000703214	0.230863	0.01
214	0.270121	0.364291	0.000562678	0.0174891	0.439374	0.00070837	0.231819	0.01
215	0.269357	0.363743	0.000568986	0.0176127	0.440757	0.000713532	0.232774	0.01
216	0.268595	0.363195	0.000575323	0.0177364	0.442136	0.000718701	0.233728	0.01
217	0.267836	0.362648	0.00058169	0.0178602	0.44351	0.000723877	0.234681	0.01
218	0.267079	0.362102	0.000588085	0.0179842	0.444878	0.00072906	0.235633	0.01
