time	H2	O2	H2O	OH	H	HO2	O	N2
22900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
23900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
24900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
25900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
26900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
27900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
28900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29500	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29600	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29700	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29800	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
29900	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30000	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30100	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30200	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30300	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
30400	0,144528	0,0289987	0,0336436	0,379703	1,2599	0	1,50741	0,01
